math_marks,science_marks,social_marks,english_marks,hobby,activity,logic_score,creative_score,leadership_score,stream
83,86,56,65,Literary,Debating,5,1,2,Science
50,78,84,57,Artistic,Drama,2,4,3,Humanities
76,82,57,67,Technical,Robotics,5,2,3,Science
92,82,83,82,Literary,Debating,3,5,5,Humanities
70,72,75,77,Literary,Drama,2,4,3,Humanities
79,91,62,57,Literary,Drama,5,4,2,Science
67,76,41,72,Technical,Robotics,3,1,2,Science
65,100,67,91,Technical,Volunteering,5,4,3,Science
46,61,77,68,Business,Entrepreneurship,1,2,1,Commerce
84,73,70,69,Business,Entrepreneurship,2,3,3,Commerce
85,91,72,71,Technical,Volunteering,4,1,3,Science
91,77,72,66,Technical,Volunteering,3,2,1,Science
80,60,46,58,Technical,Robotics,1,1,3,Science
68,65,61,67,Literary,Debating,3,5,1,Humanities
79,85,75,87,Artistic,Volunteering,5,3,3,Humanities
63,80,75,70,Artistic,Volunteering,2,5,2,Humanities
53,52,77,63,Literary,Volunteering,1,2,4,Humanities
71,75,83,74,Business,Entrepreneurship,3,3,4,Commerce
91,66,85,81,Technical,Robotics,4,5,2,Science
93,66,70,56,Technical,Volunteering,4,1,3,Science
100,73,79,85,Business,Entrepreneurship,5,5,5,Commerce
60,73,64,54,Literary,Volunteering,3,1,2,Science
59,50,70,55,Literary,Drama,1,2,3,Humanities
75,87,92,80,Artistic,Debating,3,4,4,Humanities
76,66,71,77,Literary,Drama,2,1,1,Humanities
78,68,72,75,Literary,Drama,2,2,2,Humanities
91,68,70,55,Literary,Debating,3,1,3,Humanities
82,77,78,90,Technical,Volunteering,5,5,3,Science
62,57,76,100,Literary,Debating,1,5,5,Humanities
70,50,68,85,Business,Finance Club,1,5,3,Commerce
63,68,62,80,Artistic,Debating,1,3,2,Humanities
95,51,71,81,Technical,Robotics,3,5,3,Science
55,51,89,88,Literary,Volunteering,1,5,2,Humanities
73,84,52,56,Business,Finance Club,3,1,4,Commerce
74,80,64,91,Business,Volunteering,2,4,3,Humanities
99,91,61,79,Literary,Volunteering,5,1,2,Science
67,66,69,76,Artistic,Volunteering,1,5,1,Humanities
89,66,77,58,Artistic,Debating,5,3,5,Humanities
75,83,53,84,Literary,Volunteering,2,5,1,Humanities
94,87,80,65,Artistic,Debating,2,2,3,Humanities
66,58,65,78,Technical,Volunteering,2,3,2,Science
81,82,64,96,Technical,Robotics,4,5,1,Science
86,84,96,87,Literary,Debating,3,5,5,Humanities
74,74,71,70,Artistic,Drama,1,5,4,Humanities
68,76,79,60,Business,Volunteering,4,2,2,Science
74,71,70,80,Technical,Volunteering,4,3,4,Science
71,89,77,75,Technical,Robotics,4,3,1,Science
84,60,81,82,Business,Finance Club,3,2,5,Commerce
68,83,53,99,Artistic,Volunteering,2,5,2,Humanities
59,57,62,79,Technical,Volunteering,1,2,2,Science
89,99,86,87,Business,Volunteering,4,4,2,Science
91,71,75,61,Technical,Robotics,2,1,3,Science
82,88,72,81,Business,Volunteering,5,5,2,Science
82,75,65,83,Technical,Robotics,4,2,2,Science
92,72,81,65,Technical,Volunteering,5,1,5,Science
97,90,91,67,Technical,Robotics,5,3,3,Science
64,67,90,74,Literary,Debating,1,3,4,Humanities
75,74,82,85,Artistic,Drama,1,4,5,Humanities
80,71,62,81,Technical,Volunteering,5,4,3,Science
67,74,73,60,Artistic,Debating,3,2,2,Humanities
62,70,72,74,Business,Entrepreneurship,1,2,4,Commerce
73,58,68,61,Artistic,Drama,1,1,1,Humanities
53,59,84,77,Artistic,Drama,1,2,1,Humanities
72,81,65,53,Literary,Drama,4,1,2,Science
79,54,81,59,Business,Volunteering,3,1,2,Commerce
83,76,75,72,Technical,Volunteering,4,2,5,Science
73,54,71,73,Technical,Robotics,4,1,5,Science
88,95,78,78,Technical,Volunteering,5,5,3,Science
71,69,88,97,Business,Entrepreneurship,2,5,4,Commerce
86,89,76,58,Technical,Volunteering,4,1,1,Science
92,95,72,71,Technical,Volunteering,4,1,4,Science
89,66,93,81,Technical,Robotics,5,5,4,Science
73,82,82,89,Technical,Robotics,5,4,4,Science
69,87,86,82,Business,Entrepreneurship,3,3,3,Commerce
91,79,51,78,Technical,Robotics,5,3,2,Science
85,79,95,85,Literary,Debating,3,5,3,Humanities
82,72,58,65,Artistic,Debating,2,2,1,Humanities
64,84,62,66,Literary,Volunteering,2,3,3,Humanities
49,76,67,69,Technical,Robotics,3,3,1,Science
84,67,89,91,Business,Volunteering,4,5,5,Commerce
69,77,72,90,Literary,Drama,4,5,1,Humanities
90,73,85,72,Business,Volunteering,3,3,3,Commerce
90,65,69,82,Business,Finance Club,5,2,5,Commerce
99,75,95,75,Technical,Robotics,4,2,3,Science
64,83,94,71,Literary,Drama,2,4,5,Humanities
87,83,89,100,Artistic,Volunteering,3,5,1,Humanities
84,87,59,62,Technical,Robotics,4,3,2,Science
62,86,64,60,Business,Entrepreneurship,1,2,5,Commerce
81,59,69,72,Literary,Drama,3,4,4,Humanities
75,50,83,85,Artistic,Drama,1,5,2,Humanities
70,53,61,86,Artistic,Drama,3,5,1,Humanities
70,43,79,67,Technical,Robotics,1,4,5,Humanities
70,55,77,57,Business,Finance Club,1,3,1,Commerce
70,55,75,70,Business,Entrepreneurship,2,1,4,Commerce
69,52,68,67,Literary,Volunteering,1,4,2,Humanities
82,82,73,56,Business,Finance Club,4,1,3,Commerce
73,71,72,94,Artistic,Volunteering,1,4,3,Humanities
63,50,77,71,Artistic,Volunteering,3,4,4,Humanities
64,91,78,71,Technical,Volunteering,3,2,1,Science
86,84,64,68,Business,Finance Club,3,5,1,Science
71,86,71,77,Artistic,Debating,3,3,1,Humanities
76,69,69,64,Artistic,Volunteering,3,1,4,Humanities
77,94,65,45,Literary,Volunteering,3,1,5,Science
95,97,70,89,Literary,Drama,4,3,1,Humanities
87,49,79,86,Artistic,Volunteering,3,5,2,Humanities
88,76,72,53,Literary,Debating,3,1,1,Science
82,92,62,77,Literary,Volunteering,2,4,3,Humanities
73,64,74,81,Business,Finance Club,3,3,2,Commerce
64,70,90,66,Artistic,Volunteering,2,3,2,Humanities
94,80,87,91,Business,Entrepreneurship,5,5,2,Commerce
54,70,75,78,Technical,Robotics,4,2,5,Science
100,83,77,71,Business,Volunteering,5,2,1,Science
85,76,67,67,Technical,Robotics,5,2,2,Science
72,47,93,73,Literary,Drama,2,4,2,Humanities
57,72,83,65,Business,Finance Club,2,2,4,Commerce
69,78,85,90,Technical,Volunteering,1,4,3,Humanities
94,65,72,68,Technical,Volunteering,4,2,4,Science
79,68,64,78,Business,Volunteering,2,1,5,Commerce
70,53,65,74,Artistic,Volunteering,2,1,2,Humanities
63,68,72,95,Artistic,Drama,2,5,1,Humanities
87,90,78,70,Technical,Volunteering,4,3,2,Science
77,82,57,54,Technical,Robotics,5,1,5,Science
80,78,88,82,Literary,Volunteering,3,4,4,Humanities
100,84,62,78,Technical,Volunteering,5,1,4,Science
63,73,55,75,Business,Entrepreneurship,3,1,3,Commerce
71,61,81,86,Business,Entrepreneurship,1,4,2,Commerce
51,83,73,58,Business,Entrepreneurship,1,1,5,Commerce
57,80,84,99,Technical,Volunteering,5,5,5,Humanities
95,80,91,86,Business,Finance Club,4,5,4,Commerce
83,76,89,79,Literary,Debating,2,2,4,Humanities
77,80,63,72,Business,Volunteering,3,2,2,Science
57,75,91,94,Artistic,Drama,1,4,2,Humanities
82,71,72,71,Literary,Volunteering,2,5,3,Humanities
75,56,75,69,Technical,Volunteering,3,3,2,Science
69,79,76,73,Technical,Robotics,4,2,4,Science
84,100,60,57,Technical,Volunteering,5,2,4,Science
88,69,61,79,Technical,Robotics,4,2,1,Science
78,77,74,74,Artistic,Drama,3,5,5,Humanities
66,80,100,85,Literary,Drama,3,5,4,Humanities
76,51,63,74,Artistic,Drama,1,3,1,Humanities
74,75,87,61,Technical,Volunteering,4,1,4,Science
75,91,69,60,Technical,Robotics,4,2,1,Science
83,62,100,96,Artistic,Debating,2,5,5,Humanities
73,77,69,79,Literary,Debating,3,5,2,Humanities
86,89,69,68,Artistic,Debating,5,2,5,Science
82,70,89,83,Business,Finance Club,1,4,5,Commerce
77,93,73,65,Business,Entrepreneurship,3,1,4,Commerce
71,63,76,62,Business,Volunteering,4,4,3,Commerce
73,68,69,83,Artistic,Drama,3,3,5,Humanities
55,73,72,61,Artistic,Drama,1,2,2,Humanities
82,75,78,77,Technical,Volunteering,5,5,3,Science
58,80,59,63,Literary,Debating,2,2,1,Humanities
69,71,75,56,Literary,Volunteering,2,1,4,Humanities
92,82,77,95,Business,Volunteering,2,3,2,Humanities
69,81,77,76,Technical,Volunteering,4,2,5,Science
79,79,65,75,Technical,Robotics,4,4,1,Science
55,58,68,69,Literary,Debating,1,1,2,Humanities
69,77,72,53,Literary,Drama,1,2,1,Humanities
76,70,68,70,Business,Finance Club,4,1,3,Commerce
59,58,73,61,Business,Volunteering,1,2,5,Commerce
79,87,77,88,Literary,Debating,4,3,3,Humanities
72,73,64,86,Artistic,Drama,3,4,3,Humanities
90,67,70,74,Technical,Robotics,3,3,1,Science
87,81,67,59,Technical,Robotics,4,4,1,Science
70,58,79,80,Literary,Volunteering,1,1,5,Humanities
77,82,55,69,Artistic,Debating,2,1,3,Humanities
76,88,82,61,Literary,Drama,4,2,2,Humanities
61,79,95,70,Technical,Volunteering,2,1,4,Science
83,100,63,54,Literary,Volunteering,5,1,3,Science
81,72,85,77,Artistic,Drama,2,2,2,Humanities
55,73,81,81,Technical,Volunteering,2,4,3,Humanities
100,69,65,71,Technical,Volunteering,5,1,3,Science
67,68,77,55,Business,Volunteering,2,1,4,Commerce
60,55,58,64,Business,Volunteering,2,2,5,Commerce
81,98,77,70,Business,Volunteering,5,3,1,Science
69,61,85,63,Technical,Volunteering,2,3,2,Science
84,77,83,61,Business,Volunteering,2,3,3,Commerce
61,70,68,62,Technical,Volunteering,3,1,3,Science
50,68,88,81,Artistic,Volunteering,2,5,3,Humanities
58,85,77,77,Artistic,Volunteering,1,4,1,Humanities
61,48,81,74,Artistic,Volunteering,3,4,3,Humanities
84,80,46,61,Literary,Volunteering,3,1,1,Science
63,67,62,81,Business,Finance Club,2,3,4,Commerce
73,78,70,88,Technical,Robotics,4,4,1,Science
77,66,76,80,Business,Finance Club,2,5,4,Commerce
88,90,91,100,Business,Entrepreneurship,4,5,5,Commerce
62,62,58,92,Literary,Debating,2,5,4,Humanities
84,78,59,78,Technical,Robotics,4,3,2,Science
97,62,88,89,Business,Volunteering,5,5,2,Humanities
89,76,74,60,Business,Entrepreneurship,4,2,4,Commerce
77,66,68,75,Business,Entrepreneurship,3,2,5,Commerce
60,84,69,89,Business,Finance Club,4,5,3,Humanities
79,79,67,66,Literary,Drama,4,5,2,Humanities
81,100,68,82,Technical,Volunteering,4,4,4,Science
82,87,86,79,Technical,Volunteering,5,3,2,Science
97,81,67,60,Technical,Volunteering,4,1,4,Science
77,69,81,78,Artistic,Debating,3,4,2,Humanities
86,50,85,60,Literary,Debating,2,4,2,Humanities
69,79,100,82,Artistic,Drama,3,5,4,Humanities
100,80,94,63,Technical,Robotics,5,2,2,Science
43,56,51,75,Business,Finance Club,1,1,2,Commerce
82,57,55,74,Business,Entrepreneurship,2,1,4,Commerce
84,100,65,72,Technical,Robotics,5,1,4,Science
53,61,79,59,Business,Volunteering,1,3,5,Commerce
76,66,71,68,Artistic,Debating,2,4,1,Humanities
58,70,85,72,Technical,Volunteering,3,3,3,Science
82,100,92,87,Technical,Robotics,5,3,4,Science
81,88,61,58,Technical,Robotics,4,1,1,Science
74,73,67,71,Literary,Debating,3,2,1,Humanities
70,82,75,88,Business,Entrepreneurship,4,5,5,Commerce
75,78,70,87,Technical,Volunteering,3,2,5,Science
70,93,75,48,Technical,Volunteering,5,1,2,Science
80,72,64,60,Technical,Volunteering,4,1,4,Science
97,91,78,71,Technical,Robotics,5,1,5,Science
86,74,70,53,Technical,Volunteering,5,2,2,Science
91,77,64,77,Technical,Robotics,5,1,3,Science
90,77,73,65,Technical,Robotics,5,1,3,Science
83,89,71,70,Business,Volunteering,2,5,4,Commerce
91,78,67,79,Technical,Volunteering,5,5,5,Science
89,79,80,82,Technical,Volunteering,1,5,2,Humanities
75,75,66,83,Technical,Robotics,3,3,1,Science
92,58,84,44,Business,Volunteering,2,3,3,Commerce
41,54,55,81,Business,Volunteering,1,1,3,Commerce
59,67,65,77,Literary,Debating,3,1,1,Humanities
63,83,71,93,Literary,Volunteering,3,5,4,Humanities
73,57,67,69,Technical,Volunteering,4,3,3,Science
88,99,75,93,Technical,Robotics,5,5,3,Science
86,65,75,83,Literary,Volunteering,3,3,1,Humanities
66,67,66,84,Literary,Debating,2,5,1,Humanities
91,87,63,65,Technical,Robotics,5,2,1,Science
73,58,59,76,Business,Finance Club,1,2,4,Commerce
69,62,70,84,Artistic,Debating,1,5,1,Humanities
74,69,73,75,Literary,Drama,2,5,2,Humanities
85,79,76,100,Technical,Robotics,5,5,3,Science
93,79,94,85,Technical,Robotics,4,4,5,Science
69,70,69,80,Artistic,Debating,3,2,2,Humanities
100,79,70,78,Technical,Robotics,5,3,3,Science
61,74,60,58,Business,Volunteering,1,1,2,Commerce
77,86,87,64,Literary,Volunteering,3,1,4,Humanities
52,72,82,100,Literary,Debating,2,4,3,Humanities
43,65,92,91,Technical,Volunteering,1,4,1,Humanities
82,89,92,77,Business,Finance Club,4,5,4,Commerce
70,65,87,59,Business,Finance Club,2,1,4,Commerce
80,63,98,92,Technical,Volunteering,3,5,2,Humanities
80,73,54,72,Technical,Volunteering,4,1,2,Science
73,57,88,74,Technical,Volunteering,2,2,5,Commerce
100,71,47,74,Business,Finance Club,3,2,2,Commerce
73,66,80,57,Artistic,Debating,2,2,3,Humanities
79,70,74,70,Technical,Robotics,2,1,3,Science
86,86,71,66,Technical,Robotics,4,2,1,Science
86,84,76,62,Technical,Volunteering,4,1,2,Science
81,53,83,91,Artistic,Drama,1,4,3,Humanities
80,81,79,83,Artistic,Drama,3,5,4,Humanities
67,89,79,99,Business,Finance Club,4,4,4,Commerce
68,83,93,91,Artistic,Volunteering,1,4,5,Humanities
71,69,88,94,Business,Volunteering,3,4,3,Humanities
95,95,90,97,Artistic,Debating,4,4,4,Humanities
83,74,93,57,Business,Volunteering,4,3,4,Commerce
70,78,65,82,Artistic,Debating,3,4,3,Humanities
70,82,81,90,Technical,Robotics,5,5,4,Science
73,88,73,100,Business,Finance Club,5,5,3,Humanities
97,100,61,56,Literary,Drama,5,3,3,Science
80,80,75,78,Technical,Volunteering,4,4,1,Science
61,64,64,68,Business,Finance Club,3,1,5,Commerce
63,55,61,69,Business,Volunteering,1,2,1,Commerce
60,81,83,91,Artistic,Volunteering,1,5,4,Humanities
68,91,93,62,Business,Entrepreneurship,4,2,3,Commerce
49,59,78,89,Literary,Drama,1,5,4,Humanities
85,72,60,71,Technical,Volunteering,4,2,3,Science
91,77,74,87,Technical,Volunteering,4,4,1,Science
86,79,79,94,Technical,Volunteering,5,5,2,Science
89,80,78,83,Business,Entrepreneurship,4,4,3,Commerce
49,69,62,80,Artistic,Drama,1,1,5,Humanities
91,79,76,59,Technical,Robotics,5,1,5,Science
56,53,88,100,Artistic,Drama,1,5,5,Humanities
82,86,74,83,Technical,Volunteering,5,4,5,Science
89,71,83,90,Technical,Volunteering,2,3,4,Science
73,61,58,76,Business,Finance Club,1,1,4,Commerce
77,50,84,54,Business,Entrepreneurship,2,2,1,Commerce
88,84,67,88,Literary,Volunteering,4,5,5,Humanities
56,75,81,74,Business,Entrepreneurship,3,3,1,Commerce
65,70,80,88,Artistic,Debating,1,5,4,Humanities
79,70,86,78,Literary,Drama,5,4,2,Humanities
80,91,91,55,Literary,Volunteering,5,2,5,Science
58,48,82,79,Business,Entrepreneurship,1,5,3,Commerce
73,48,86,86,Artistic,Debating,2,4,5,Humanities
92,98,99,67,Technical,Robotics,5,4,2,Science
78,73,73,98,Technical,Volunteering,5,5,1,Science
83,74,68,67,Literary,Debating,1,3,2,Humanities
67,90,87,81,Business,Finance Club,3,5,1,Humanities
80,68,66,59,Artistic,Volunteering,2,3,3,Humanities
69,63,80,70,Artistic,Debating,1,3,1,Humanities
63,87,80,71,Artistic,Debating,4,3,2,Humanities
60,71,76,71,Technical,Volunteering,2,3,2,Science
64,88,73,51,Technical,Volunteering,3,1,1,Science
72,69,83,72,Artistic,Drama,2,4,3,Humanities
78,66,81,80,Technical,Volunteering,4,3,5,Science
87,81,94,76,Technical,Volunteering,5,4,5,Science
59,73,63,74,Artistic,Drama,1,2,2,Humanities
74,57,82,82,Literary,Volunteering,3,5,4,Humanities
61,80,77,64,Literary,Debating,3,2,1,Humanities
70,46,86,90,Artistic,Debating,1,5,3,Humanities
74,83,73,81,Technical,Robotics,2,2,3,Science
100,75,62,80,Technical,Volunteering,5,2,4,Science
78,75,83,73,Artistic,Debating,4,5,1,Humanities
83,84,67,78,Technical,Robotics,4,3,5,Science
53,78,67,72,Business,Volunteering,2,2,3,Commerce
72,59,64,78,Literary,Debating,2,3,1,Humanities
78,59,56,62,Artistic,Debating,3,2,1,Humanities
73,77,78,67,Business,Entrepreneurship,3,4,2,Commerce
90,91,100,78,Technical,Robotics,5,5,4,Science
76,81,71,66,Technical,Volunteering,4,2,5,Science
69,72,62,82,Business,Entrepreneurship,5,2,2,Science
66,66,79,81,Business,Volunteering,3,4,5,Commerce
66,87,62,85,Technical,Robotics,4,2,1,Science
56,63,74,64,Literary,Drama,3,1,2,Humanities
70,57,57,78,Literary,Debating,1,1,5,Humanities
67,59,74,75,Business,Volunteering,2,3,4,Commerce
85,82,95,81,Artistic,Debating,3,5,2,Humanities
56,79,50,63,Technical,Robotics,5,2,5,Science
79,97,75,78,Artistic,Debating,5,5,1,Humanities
67,78,73,70,Artistic,Volunteering,1,1,3,Humanities
79,67,54,55,Technical,Robotics,4,2,3,Science
82,60,64,92,Technical,Volunteering,3,3,4,Science
44,83,85,54,Literary,Debating,1,2,5,Humanities
61,75,76,58,Business,Volunteering,2,1,4,Commerce
74,50,57,70,Literary,Drama,2,1,1,Humanities
86,86,68,62,Technical,Robotics,4,1,5,Science
75,73,64,64,Business,Volunteering,3,2,4,Commerce
95,72,82,82,Technical,Volunteering,5,3,1,Science
61,61,72,92,Artistic,Debating,1,2,2,Humanities
82,71,85,75,Artistic,Drama,1,5,2,Humanities
71,76,75,58,Literary,Drama,1,2,2,Humanities
86,51,89,85,Business,Volunteering,1,5,3,Humanities
93,73,76,78,Artistic,Drama,5,4,3,Humanities
93,86,80,77,Business,Entrepreneurship,5,4,2,Science
62,84,81,93,Technical,Volunteering,4,5,1,Humanities
64,64,67,70,Business,Finance Club,2,2,5,Commerce
84,75,71,80,Business,Finance Club,3,2,3,Commerce
81,66,53,70,Artistic,Debating,3,4,1,Humanities
62,72,69,65,Technical,Volunteering,4,1,5,Science
94,77,97,86,Technical,Robotics,5,4,3,Science
87,82,62,58,Technical,Robotics,5,1,5,Science
72,79,81,69,Business,Volunteering,4,3,3,Commerce
77,75,71,51,Technical,Robotics,4,2,5,Science
71,63,61,68,Artistic,Debating,3,2,2,Humanities
61,66,71,63,Literary,Drama,2,3,2,Humanities
80,85,92,81,Technical,Volunteering,4,4,1,Science
81,86,84,100,Artistic,Drama,2,5,2,Humanities
71,68,90,58,Business,Finance Club,3,3,3,Commerce
72,98,82,80,Business,Volunteering,4,4,4,Commerce
72,61,75,75,Literary,Volunteering,2,4,4,Humanities
59,53,88,82,Business,Finance Club,1,3,5,Commerce
64,65,88,92,Artistic,Drama,2,5,3,Humanities
51,47,63,68,Literary,Drama,1,3,1,Humanities
64,74,79,100,Artistic,Debating,2,4,3,Humanities
53,71,67,81,Artistic,Drama,1,1,3,Humanities
80,73,83,57,Literary,Volunteering,2,2,2,Humanities
62,74,87,66,Artistic,Drama,2,5,4,Humanities
79,96,89,66,Artistic,Debating,5,2,5,Humanities
69,67,79,93,Artistic,Debating,3,4,1,Humanities
73,76,76,80,Artistic,Debating,3,5,3,Humanities
82,90,74,58,Literary,Volunteering,4,1,2,Science
71,90,77,72,Literary,Debating,4,2,5,Humanities
86,71,67,87,Business,Entrepreneurship,5,4,1,Science
61,80,86,72,Technical,Robotics,5,4,1,Science
77,67,94,89,Technical,Robotics,5,5,4,Science
72,71,81,80,Business,Finance Club,5,3,2,Commerce
68,53,93,88,Technical,Robotics,5,1,5,Science
61,86,56,56,Technical,Volunteering,5,3,1,Science
79,78,85,97,Business,Entrepreneurship,5,5,1,Humanities
97,89,76,68,Business,Volunteering,5,2,5,Commerce
64,68,62,66,Artistic,Debating,2,2,2,Humanities
85,74,70,89,Business,Entrepreneurship,4,4,1,Science
80,64,64,72,Technical,Robotics,3,1,5,Science
79,83,83,76,Technical,Robotics,4,5,4,Science
66,67,87,85,Technical,Volunteering,2,5,5,Humanities
78,64,83,93,Technical,Volunteering,1,4,5,Humanities
65,77,84,82,Literary,Drama,3,2,5,Humanities
83,72,86,72,Technical,Volunteering,4,5,5,Science
92,94,65,53,Literary,Debating,5,1,3,Science
82,64,92,90,Artistic,Debating,4,5,3,Humanities
59,72,72,77,Business,Volunteering,1,4,2,Humanities
75,68,80,71,Business,Finance Club,2,3,3,Commerce
67,81,43,68,Artistic,Volunteering,1,1,1,Humanities
81,63,72,81,Business,Finance Club,1,2,5,Commerce
98,90,81,75,Literary,Drama,4,5,4,Humanities
56,60,80,62,Technical,Robotics,1,2,4,Science
70,69,73,65,Business,Finance Club,1,1,5,Commerce
55,65,81,74,Business,Volunteering,2,2,3,Commerce
75,61,89,75,Literary,Volunteering,3,3,5,Humanities
77,64,74,78,Business,Entrepreneurship,5,5,2,Commerce
100,80,68,70,Business,Finance Club,5,2,1,Science
90,81,80,57,Artistic,Volunteering,5,3,4,Science
57,80,90,68,Business,Finance Club,3,3,2,Commerce
87,76,63,73,Technical,Robotics,4,1,5,Science
91,72,82,94,Business,Finance Club,4,4,4,Commerce
81,84,70,79,Technical,Volunteering,4,4,2,Science
79,100,68,66,Business,Volunteering,4,3,5,Science
66,71,96,82,Artistic,Volunteering,2,4,2,Humanities
79,82,68,91,Literary,Drama,2,4,2,Humanities
62,78,71,63,Artistic,Debating,3,1,1,Humanities
92,83,66,67,Business,Volunteering,4,3,2,Science
69,55,86,70,Technical,Volunteering,2,3,1,Humanities
75,79,66,65,Technical,Volunteering,4,2,2,Science
81,49,65,58,Technical,Volunteering,2,1,2,Science
63,88,81,87,Technical,Robotics,5,4,3,Science
85,66,89,96,Business,Entrepreneurship,3,4,5,Commerce
73,64,84,84,Artistic,Debating,3,4,3,Humanities
72,59,74,94,Artistic,Volunteering,2,5,2,Humanities
56,78,89,56,Business,Volunteering,1,1,3,Commerce
38,54,70,66,Literary,Debating,1,1,4,Humanities
82,71,95,85,Artistic,Drama,3,3,4,Humanities
100,80,80,61,Artistic,Volunteering,4,1,4,Science
68,69,83,73,Artistic,Debating,2,5,5,Humanities
72,73,78,59,Business,Finance Club,1,2,3,Commerce
88,53,73,65,Business,Volunteering,1,2,4,Commerce
90,100,69,62,Technical,Robotics,5,2,5,Science
91,85,68,61,Business,Entrepreneurship,4,1,1,Science
78,75,65,62,Literary,Debating,3,1,3,Humanities
91,58,82,89,Technical,Volunteering,5,5,1,Science
75,67,53,59,Business,Volunteering,1,1,2,Commerce
81,68,79,76,Artistic,Debating,3,3,5,Humanities
61,57,90,73,Business,Entrepreneurship,1,2,5,Commerce
85,95,76,75,Technical,Volunteering,5,1,4,Science
88,85,63,56,Technical,Robotics,5,1,4,Science
61,68,66,88,Artistic,Drama,3,3,1,Humanities
81,87,69,71,Artistic,Volunteering,3,4,1,Humanities
69,79,77,57,Business,Entrepreneurship,2,2,5,Commerce
85,92,66,60,Technical,Volunteering,5,1,3,Science
78,65,75,58,Artistic,Volunteering,4,1,4,Science
79,76,70,87,Business,Finance Club,5,4,5,Commerce
53,95,55,74,Business,Volunteering,4,3,3,Science
70,71,57,74,Business,Entrepreneurship,1,3,3,Commerce
66,90,63,67,Artistic,Drama,3,1,2,Humanities
86,89,70,89,Technical,Volunteering,5,5,4,Science
90,67,65,62,Technical,Robotics,4,3,2,Science
87,72,66,61,Technical,Robotics,4,4,1,Science
91,100,74,84,Technical,Volunteering,5,3,5,Science
86,72,77,84,Business,Finance Club,3,5,2,Commerce
70,74,59,59,Business,Volunteering,3,1,4,Commerce
68,67,83,87,Technical,Volunteering,2,5,4,Humanities
68,70,75,91,Literary,Debating,1,5,4,Humanities
72,78,73,58,Literary,Debating,3,5,1,Humanities
78,79,67,77,Artistic,Volunteering,4,2,3,Science
89,89,77,76,Technical,Volunteering,5,2,3,Science
71,78,83,100,Literary,Debating,3,4,3,Humanities
87,83,97,68,Artistic,Volunteering,3,5,4,Humanities
80,68,64,64,Business,Finance Club,4,2,4,Commerce
67,56,91,94,Artistic,Volunteering,2,5,5,Humanities
74,67,66,61,Artistic,Volunteering,2,2,1,Humanities
71,74,58,61,Technical,Robotics,4,2,3,Science
75,69,61,56,Technical,Robotics,4,1,3,Science
72,62,72,74,Artistic,Debating,4,2,2,Humanities
73,72,91,68,Technical,Robotics,5,2,4,Science
88,77,75,56,Artistic,Volunteering,3,1,2,Science
97,84,77,65,Business,Volunteering,5,2,1,Science
73,75,85,63,Literary,Debating,3,3,2,Humanities
75,75,64,63,Business,Entrepreneurship,2,3,5,Commerce
76,74,78,72,Business,Finance Club,2,3,4,Commerce
84,62,80,83,Artistic,Debating,3,5,5,Humanities
59,55,75,92,Literary,Debating,1,3,2,Humanities
46,74,64,76,Literary,Debating,2,2,2,Humanities
65,88,79,77,Literary,Drama,2,5,5,Humanities
71,58,61,75,Technical,Robotics,2,1,2,Science
95,90,74,80,Literary,Debating,4,4,1,Humanities
59,68,85,80,Literary,Debating,2,4,5,Humanities
81,70,86,79,Business,Volunteering,2,4,5,Commerce
66,81,89,90,Business,Volunteering,4,5,5,Humanities
63,69,82,78,Technical,Robotics,3,2,4,Science
76,71,58,60,Literary,Debating,3,1,5,Humanities
65,63,68,72,Technical,Volunteering,2,1,5,Science
82,71,82,76,Business,Finance Club,3,3,1,Commerce
74,80,80,72,Technical,Volunteering,4,3,1,Science
62,71,83,61,Business,Entrepreneurship,2,2,2,Commerce
92,77,79,90,Technical,Volunteering,5,3,3,Science
73,61,58,47,Technical,Robotics,4,1,3,Science
73,89,69,73,Technical,Volunteering,5,1,5,Science
79,67,68,75,Technical,Robotics,4,4,1,Science
66,52,53,68,Technical,Robotics,1,2,3,Science
72,73,78,75,Technical,Volunteering,1,1,2,Science
62,82,67,66,Technical,Robotics,3,2,3,Science
76,70,57,54,Literary,Drama,3,1,1,Humanities
74,71,74,73,Technical,Robotics,4,4,4,Science
82,61,82,76,Technical,Volunteering,5,3,1,Science
91,95,84,64,Literary,Debating,5,3,2,Science
81,90,76,72,Technical,Volunteering,5,1,5,Science
85,81,76,56,Artistic,Volunteering,5,3,5,Science
68,64,83,79,Artistic,Volunteering,1,5,1,Humanities
77,70,84,73,Artistic,Volunteering,3,5,2,Humanities
100,92,95,78,Business,Finance Club,4,3,4,Commerce
73,58,75,72,Literary,Debating,2,4,4,Humanities
72,58,71,69,Literary,Drama,1,3,3,Humanities
61,66,64,74,Artistic,Drama,1,5,5,Humanities
68,65,79,88,Business,Finance Club,2,3,1,Commerce
68,78,79,94,Artistic,Volunteering,3,5,4,Humanities
71,72,62,85,Artistic,Volunteering,2,5,3,Humanities
82,72,73,91,Artistic,Debating,3,5,2,Humanities
72,71,63,91,Artistic,Drama,2,4,3,Humanities
94,79,83,89,Literary,Drama,5,4,2,Humanities
78,85,98,75,Artistic,Debating,3,4,5,Humanities
82,75,71,69,Technical,Volunteering,5,3,1,Science
73,79,63,87,Literary,Volunteering,3,5,5,Humanities
